2gVhfX2Gy1T9kDuS9azrF7,willow,Taylor Swift,evermore (deluxe version),2021-01-07,pop,,214.707,0.574,0.392,0.833,,-9.195
1gcyHQpBQ1lfXGdhZmWrHP,champagne problems,Taylor Swift,evermore (deluxe version),2021-01-07,pop,True,244.0,0.24,0.462,0.92,0.113,-12.077
3Dby3p1m6IOZn2gIIqECgK,gold rush,Taylor Swift,evermore (deluxe version),2021-01-07,pop,True,185.32,0.462,0.512,0.83,0.121,-10.491
6sQckd3Z8NPxVVKUnavY1F,,Taylor Swift,evermore (deluxe version),2021-01-07,pop,False,229.84,0.434,0.575,0.735,0.105,-8.193
6lCvK2AR2uOKkVFCVlAzzm,tolerate it,Taylor Swift,evermore (deluxe version),2021-01-07,pop,,245.44,0.361,0.316,0.878,0.0797,-10.381
6uwfVkaOM1mcMkFmSn35ix,,Taylor Swift,,2021-01-07,pop,False,215.627,0.613,0.546,0.418,0.103,-7.589
55Vf4bimc1Rtfg0PAQRAo2,happiness,Taylor Swift,evermore (deluxe version),,pop,True,315.147,0.334,0.559,0.87,0.114,-10.733
66tOfHVH3aUrscg8vExRV4,dorothea,Taylor Swift,evermore (deluxe version),2021-01-07,pop,False,225.88,0.488,0.605,0.696,0.129,-8.322
2awNGIJHodfLZSClB3PYhz,coney island (feat. The National),Taylor Swift,evermore (deluxe version),2021-01-07,pop,False,275.32,0.537,0.537,0.819,0.142,-11.266
43Ykum9T72UOPhBN31grpN,ivy,Taylor Swift,evermore (deluxe version),2021-01-07,pop,True,260.44,0.545,0.515,0.855,0.0921,-9.277
52OkpDsU6MmPx1AwGOb6Ap,cowboy like me,Taylor Swift,evermore (deluxe version),2021-01-07,pop,True,275.04,0.517,0.604,0.768,0.123,-9.014
5VYWxXUpxuxEmCqMLDqICo,long story short,Taylor Swift,evermore (deluxe version),2021-01-07,pop,False,215.92,0.73,0.546,0.66,0.0972,-7.704
5uICWmZTLkpEVbK22PBP6e,marjorie,,evermore (deluxe version),2021-01-07,pop,False,257.773,0.561,0.535,0.876,0.115,-11.609
6a8aUhYbaQBUI8PcJ5ZmQ6,closure,Taylor Swift,evermore (deluxe version),2021-01-07,pop,False,180.653,0.704,0.689,0.835,0.134,-10.813
6Wlq9rqkxrqj5Kls4Kw14H,evermore (feat. Bon Iver),Taylor Swift,evermore (deluxe version),2021-01-07,pop,False,304.107,0.27,0.39,0.937,0.111,-10.673
3zwMVvkBe2qIKDObWgXw4N,right where you left me - bonus track,Taylor Swift,,2021-01-07,pop,False,245.027,0.619,0.581,0.769,0.117,-6.524
1kdWw77ZpYOkhxeuhzU1j6,it’s time to go - bonus track,Taylor Swift,evermore (deluxe version),2021-01-07,pop,False,254.64,0.41,0.592,0.801,0.09,-12.426
43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,Taylor Swift,Lover,2019-08-23,pop,False,170.64,0.316,0.664,0.298,0.0812,-10.345
