574y1r7o2tRA009FW0LE7v,Speak to Me,Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,True,65.314,0.0196,0.592,0.362,0.108,-33.35
2ctvdKmETyOzPb2GiJJT53,Breathe (In the Air),Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,False,169.535,0.375,0.431,0.391,0.143,-15.142
73OIUNKRi2y24Cu9cOLrzM,On the Run,Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,False,225.385,0.563,0.388,0.65,0.104,-21.192
3TO7bbrUKrOSPGRTB5MeCz,Time,Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,False,413.947,0.48,0.358,0.521,0.178,-11.79
2TjdnqlpwOjhijHCwHCP2d,The Great Gig in the Sky,Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,False,283.872,0.216,0.275,0.768,0.0832,-13.818
0vFOzaXqZHahrZp6enQwQb,Money,Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,False,382.834,0.537,0.469,0.0241,0.269,-10.421
1TKTiKp3zbNgrBH2IwSwIx,Us and Them,Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,False,469.224,0.302,0.356,0.863,0.634,-14.528
6FBPOJLxUZEair6x4kLDhf,Any Colour You Like,Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,False,206.429,0.672,0.277,0.197,0.423,-12.582
05uGBKRCuePsf43Hfm0JwX,Brain Damage,Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,False,226.667,0.265,0.322,0.0726,0.366,-13.398
1tDWVeCR9oWGX8d5J9rswk,Eclipse,Pink Floyd,The Dark Side of the Moon,1973-03-01,album rock,False,130.429,0.579,0.359,0.0591,0.0686,-10.765
